SPECIES,Family
Cycloramphus lithomimeticus,Cycloramphidae
Cycloramphus lutzorum,Cycloramphidae
Cycloramphus migueli,Cycloramphidae
Cycloramphus mirandaribeiroi,Cycloramphidae
Cycloramphus ohausi,Cycloramphidae
Cycloramphus organensis,Cycloramphidae
Cycloramphus rhyakonastes,Cycloramphidae
Cycloramphus semipalmatus,Cycloramphidae
Cycloramphus stejnegeri,Cycloramphidae
Cycloramphus valae,Cycloramphidae
Thoropa bryomantis,Cycloramphidae
Thoropa lutzi,Cycloramphidae
Thoropa megatympanum,Cycloramphidae
Thoropa miliaris,Cycloramphidae
Thoropa petropolitana,Cycloramphidae
Thoropa saxatilis,Cycloramphidae
Thoropa taophora,Cycloramphidae
Zachaenus carvalhoi,Cycloramphidae
Zachaenus parvulus,Cycloramphidae
Adelphobates castaneoticus,Dendrobatidae
Adelphobates galactonotus,Dendrobatidae
Adelphobates quinquevittatus,Dendrobatidae
Ameerega berohoka,Dendrobatidae
Ameerega braccata,Dendrobatidae
Ameerega flavopicta,Dendrobatidae
Ameerega hahneli,Dendrobatidae
Ameerega macero,Dendrobatidae
Ameerega munduruku,Dendrobatidae
Ameerega petersi,Dendrobatidae
Ameerega picta,Dendrobatidae
Ameerega pulchripecta,Dendrobatidae
Ameerega trivittata,Dendrobatidae
Dendrobates leucomelas,Dendrobatidae
Dendrobates tinctorius,Dendrobatidae
Hyloxalus chlorocraspedus,Dendrobatidae
Ranitomeya aetherea,Dendrobatidae
Ranitomeya amazonica,Dendrobatidae
Ranitomeya aquamarina,Dendrobatidae
Ranitomeya defleri,Dendrobatidae
Ranitomeya hwata,Dendrobatidae
Ranitomeya sirensis,Dendrobatidae
Ranitomeya toraro,Dendrobatidae
Ranitomeya vanzolinii,Dendrobatidae
Ranitomeya variabilis,Dendrobatidae
Ranitomeya walkari,Dendrobatidae
Fritziana mitus,Hemiphractidae
"Hyla" imitator,Hylidae
Aparasphenodon arapapa,Hylidae
Aparasphenodon bokermanni,Hylidae
Aparasphenodon brunoi,Hylidae
Aparasphenodon pomba,Hylidae
Aparasphenodon venezolanus,Hylidae
Aplastodiscus albofrenatus,Hylidae
Aplastodiscus albosignatus,Hylidae
Aplastodiscus arildae,Hylidae
Aplastodiscus aulophonus,Hylidae
Aplastodiscus cavicola,Hylidae
Aplastodiscus cochranae,Hylidae
Aplastodiscus ehrhardti,Hylidae
Aplastodiscus eugenioi,Hylidae
Aplastodiscus flumineus,Hylidae
Aplastodiscus heterophonicus,Hylidae
Aplastodiscus ibirapitanga,Hylidae
Aplastodiscus leucopygius,Hylidae
Aplastodiscus lutzorum,Hylidae
Aplastodiscus musicus,Hylidae
Aplastodiscus perviridis,Hylidae
Aplastodiscus sibilatus,Hylidae
Aplastodiscus weygoldti,Hylidae
Boana albomarginata,Hylidae
Boana albopunctata,Hylidae
Boana atlantica,Hylidae
Boana bandeirantes,Hylidae
Boana beckeri,Hylidae
Boana benitezi,Hylidae
Boana bischoffi,Hylidae
Boana boans,Hylidae
Boana botumirim,Hylidae
Boana buriti,Hylidae
Boana caiapo,Hylidae
Boana caingua,Hylidae
Boana caipora,Hylidae
Boana calcarata,Hylidae
Boana cambui,Hylidae
Boana cinereascens,Hylidae
Boana cipoensis,Hylidae
Boana claresignata,Hylidae
Boana clepsydra,Hylidae
Boana courtoisae,Hylidae
Boana crepitans,Hylidae
Boana curupi,Hylidae
Boana cymbalum,Hylidae
Boana dentei,Hylidae
Boana diabolica,Hylidae
Boana ericae,Hylidae
Boana eucharis,Hylidae
Boana exastis,Hylidae
Boana faber,Hylidae
Boana fasciata,Hylidae
Boana freicanecae,Hylidae
Boana geographica,Hylidae
Boana goiana,Hylidae
Boana guarinimirim,Hylidae
Boana guentheri,Hylidae
Boana hobbsi,Hylidae
Boana icamiaba,Hylidae
Boana itajahy,Hylidae
Boana jaguariaivensis,Hylidae
Boana joaquini,Hylidae
Boana lanciformis,Hylidae
Boana latistriata,Hylidae
Boana leptolineata,Hylidae
Boana leucocheila,Hylidae
Boana lundii,Hylidae
Boana maculateralis,Hylidae
Boana marginata,Hylidae
Boana microderma,Hylidae
Boana multifasciata,Hylidae
Boana nympha,Hylidae
Boana ornatissima,Hylidae
Boana paranaiba,Hylidae
Boana pardalis,Hylidae
Boana phaeopleura,Hylidae
Boana poaju,Hylidae
Boana polytaenia,Hylidae
Boana pombali,Hylidae
Boana prasina,Hylidae
Boana pulchella,Hylidae
Boana punctata,Hylidae
Boana quiriri,Hylidae
Boana raniceps,Hylidae
Boana secedens,Hylidae
Boana semiguttata,Hylidae
Boana semilineata,Hylidae
Boana stellae,Hylidae
Boana stenocephala,Hylidae
Boana tepuniana,Hylidae
Boana wavrini,Hylidae
Boana xerophylla,Hylidae
Bokermannohyla ahenea,Hylidae
Bokermannohyla alvarengai,Hylidae
Bokermannohyla astartea,Hylidae
Bokermannohyla capra,Hylidae
Bokermannohyla caramaschii,Hylidae
Bokermannohyla carvalhoi,Hylidae
Bokermannohyla circumdata,Hylidae
Bokermannohyla diamantina,Hylidae
Bokermannohyla flavopicta,Hylidae
Bokermannohyla gouveai,Hylidae
Bokermannohyla hylax,Hylidae
Bokermannohyla ibitiguara,Hylidae
Bokermannohyla ibitipoca,Hylidae
Bokermannohyla itapoty,Hylidae
Bokermannohyla izecksohni,Hylidae
Bokermannohyla juiju,Hylidae
Bokermannohyla langei,Hylidae
Bokermannohyla lucianae,Hylidae
Bokermannohyla luctuosa,Hylidae
Bokermannohyla martinsi,Hylidae
Bokermannohyla nanuzae,Hylidae
Bokermannohyla napolii,Hylidae
Bokermannohyla oxente,Hylidae
Bokermannohyla pseudopseudis,Hylidae
Bokermannohyla ravida,Hylidae
Bokermannohyla sagarana,Hylidae
Bokermannohyla sapiranga,Hylidae
Bokermannohyla saxicola,Hylidae
Bokermannohyla sazimai,Hylidae
Bokermannohyla vulcaniae,Hylidae
Corythomantis botoque,Hylidae
Corythomantis greeningi,Hylidae
Dendropsophus acreanus,Hylidae
Dendropsophus anataliasiasi,Hylidae
Dendropsophus anceps,Hylidae
Dendropsophus araguaya,Hylidae
Dendropsophus berthalutzae,Hylidae
Dendropsophus bifurcus,Hylidae
Dendropsophus bilobatus,Hylidae
Dendropsophus bipunctatus,Hylidae
Dendropsophus bokermanni,Hylidae
Dendropsophus branneri,Hylidae
Dendropsophus brevifrons,Hylidae
Dendropsophus bromeliaceus,Hylidae
Dendropsophus cachimbo,Hylidae
Dendropsophus cerradensis,Hylidae
Dendropsophus counani,Hylidae
Dendropsophus cruzi,Hylidae
Dendropsophus decipiens,Hylidae
Dendropsophus dutrai,Hylidae
Dendropsophus elegans,Hylidae
Dendropsophus elianeae,Hylidae
Dendropsophus gaucheri,Hylidae
Dendropsophus giesleri,Hylidae
Dendropsophus haddadi,Hylidae
Dendropsophus haraldschultzi,Hylidae
Dendropsophus kamagarini,Hylidae
Dendropsophus koechlini,Hylidae
Dendropsophus leali,Hylidae
Dendropsophus leucophyllatus,Hylidae
Dendropsophus limai,Hylidae
Dendropsophus mapinguari,Hylidae
Dendropsophus marmoratus,Hylidae
Dendropsophus melanargyreus,Hylidae
Dendropsophus meridianus,Hylidae
Dendropsophus microcephalus,Hylidae
Dendropsophus microps,Hylidae
Dendropsophus minimus,Hylidae
Dendropsophus minusculus,Hylidae
Dendropsophus minutus,Hylidae
Dendropsophus miyatai,Hylidae
Dendropsophus nahdereri,Hylidae
Dendropsophus nanus,Hylidae
Dendropsophus nekronastes,Hylidae
Dendropsophus novaisi,Hylidae
Dendropsophus oliveirai,Hylidae
Dendropsophus ozzyi,Hylidae
Dendropsophus parviceps,Hylidae
Dendropsophus pauiniensis,Hylidae
Dendropsophus pseudomeridianus,Hylidae
Dendropsophus reticulatus,Hylidae
Dendropsophus rhodopeplus,Hylidae
Dendropsophus riveroi,Hylidae
Dendropsophus rossalleni,Hylidae
Dendropsophus rubicundulus,Hylidae
Dendropsophus ruschii,Hylidae
Dendropsophus sanborni,Hylidae
Dendropsophus sarayacuensis,Hylidae
Dendropsophus schubarti,Hylidae
Dendropsophus seniculus,Hylidae
Dendropsophus soaresi,Hylidae
Dendropsophus studerae,Hylidae
Dendropsophus tapacurensis,Hylidae
Dendropsophus timbeba,Hylidae
Dendropsophus tintinnabulum,Hylidae
Dendropsophus triangulum,Hylidae
Dendropsophus tritaeniatus,Hylidae
Dendropsophus walfordi,Hylidae
Dendropsophus werneri,Hylidae
Dendropsophus xapuriensis,Hylidae
Dryaderces inframaculata,Hylidae
Dryaderces pearsoni,Hylidae
Gabohyla pauloalvini,Hylidae
Itapotihyla langsdorffii,Hylidae
Julianus fontanarossai,Hylidae
Julianus pinimus,Hylidae
Julianus uruguayus,Hylidae
Lysapsus bolivianus,Hylidae
Lysapsus caraya,Hylidae
Lysapsus laevis,Hylidae
Lysapsus limellum,Hylidae
Nyctimantis galeata,Hylidae
Ololygon agilis,Hylidae
Ololygon albicans,Hylidae
Ololygon alcatraz,Hylidae
Ololygon angrensis,Hylidae
Ololygon arduoa,Hylidae
Ololygon argyreornata,Hylidae
Ololygon ariadne,Hylidae
Ololygon aromothyella,Hylidae
Ololygon atrata,Hylidae
Ololygon belloni,Hylidae
Ololygon berthae,Hylidae
Ololygon brieni,Hylidae
Ololygon caissara,Hylidae
Ololygon canastrensis,Hylidae
Ololygon cardosoi,Hylidae
Ololygon carnevallii,Hylidae
Ololygon catharinae,Hylidae
Ololygon centralis,Hylidae
Ololygon cosenzai,Hylidae
Ololygon faivovichi,Hylidae
Ololygon feioi,Hylidae
Ololygon flavoguttatus,Hylidae
Ololygon garibaldiae,Hylidae
Ololygon goya,Hylidae
Ololygon heyeri,Hylidae
Ololygon hiemalis,Hylidae
Ololygon humilis,Hylidae
Ololygon insperata,Hylidae
Ololygon jureia,Hylidae
Ololygon kautskyi,Hylidae
Ololygon littoralis,Hylidae
Ololygon littorea,Hylidae
Ololygon longilina,Hylidae
Ololygon luizotavioi,Hylidae
Ololygon machadoi,Hylidae
Ololygon melanodactyla,Hylidae
Ololygon melloi,Hylidae
Ololygon muriciensis,Hylidae
Ololygon obtriangulata,Hylidae
Ololygon paracatu,Hylidae
Ololygon peixotoi,Hylidae
Ololygon perpusilla,Hylidae
Ololygon pixinguinha,Hylidae
Ololygon pombali,Hylidae
Ololygon ranki,Hylidae
Ololygon rizibilis,Hylidae
Ololygon skaios,Hylidae
Ololygon skuki,Hylidae
Ololygon strigilata,Hylidae
Ololygon trapicheiroi,Hylidae
Ololygon tripui,Hylidae
Ololygon tupinamba,Hylidae
Ololygon v-signata,Hylidae
Osteocephalus buckleyi,Hylidae
Osteocephalus cabrerai,Hylidae
Osteocephalus camufatus,Hylidae
Osteocephalus castaneicola,Hylidae
Osteocephalus deridens,Hylidae
Osteocephalus helenae,Hylidae
Osteocephalus leprieurii,Hylidae
Osteocephalus melanops,Hylidae
Osteocephalus oophagus,Hylidae
Osteocephalus planiceps,Hylidae
Osteocephalus subtilis,Hylidae
Osteocephalus taurinus,Hylidae
Osteocephalus vilarsi,Hylidae
Phyllodytes acuminatus,Hylidae
Phyllodytes amadoi,Hylidae
Phyllodytes brevirostris,Hylidae
Phyllodytes edelmoi,Hylidae
Phyllodytes gyrinaethes,Hylidae
Phyllodytes iuna,Hylidae
Phyllodytes kautskyi,Hylidae
Phyllodytes luteolus,Hylidae
Phyllodytes maculosus,Hylidae
Phyllodytes magnus,Hylidae
Phyllodytes megatympanum,Hylidae
Phyllodytes melanomystax,Hylidae
Phyllodytes praeceptor,Hylidae
Phyllodytes punctatus,Hylidae
Phyllodytes tuberculosus,Hylidae
Phyllodytes wuchereri,Hylidae
Pseudis bolbodactyla,Hylidae
Pseudis cardosoi,Hylidae
Pseudis fusca,Hylidae
Pseudis minuta,Hylidae
Pseudis paradoxa,Hylidae
Pseudis platensis,Hylidae
Pseudis tocantins,Hylidae
Scarthyla goinorum,Hylidae
Scinax acuminatus,Hylidae
Scinax albertinae,Hylidae
Scinax alter,Hylidae
Scinax auratus,Hylidae
Scinax baumgardneri,Hylidae
Scinax boesemani,Hylidae
Scinax cabralensis,Hylidae
Scinax caldarum,Hylidae
Scinax camposseabrai,Hylidae
Scinax constrictus,Hylidae
Scinax cretatus,Hylidae
Scinax crospedospilus,Hylidae
Scinax cruentommus,Hylidae
Scinax curicica,Hylidae
Scinax cuspidatus,Hylidae
Scinax dolloi,Hylidae
Scinax duartei,Hylidae
Scinax eurydice,Hylidae
Scinax exiguus,Hylidae
Scinax funereus,Hylidae
Scinax fuscomarginatus,Hylidae
Scinax fuscovarius,Hylidae
Scinax garbei,Hylidae
Scinax granulatus,Hylidae
Scinax haddadorum,Hylidae
Scinax hayii,Hylidae
Scinax imbegue,Hylidae
Scinax iquitorum,Hylidae
Scinax juncae,Hylidae
Scinax juruena,Hylidae
Scinax lindsayi,Hylidae
Scinax madeirae,Hylidae
Scinax maracaya,Hylidae
Scinax montivagus,Hylidae
Scinax nasicus,Hylidae
Scinax nebulosus,Hylidae
Scinax onca,Hylidae
Scinax pachycrus,Hylidae
Scinax pedromedinae,Hylidae
Scinax perereca,Hylidae
Scinax proboscideus,Hylidae
Scinax rogerioi,Hylidae
Scinax rossaferesae,Hylidae
Scinax rostratus,Hylidae
Scinax ruber,Hylidae
Scinax ruberoculatus,Hylidae
Scinax rupestris,Hylidae
Scinax sateremawe,Hylidae
Scinax similis,Hylidae
Scinax squalirostris,Hylidae
Scinax strussmannae,Hylidae
Scinax tigrinus,Hylidae
Scinax tropicalia,Hylidae
Scinax tymbamirim,Hylidae
Scinax villasboasi,Hylidae
Scinax x-signatus,Hylidae
Sphaenorhynchus botocudo,Hylidae
Sphaenorhynchus bromelicola,Hylidae
Sphaenorhynchus cammaeus,Hylidae
Sphaenorhynchus canga,Hylidae
Sphaenorhynchus caramaschii,Hylidae
Sphaenorhynchus carneus,Hylidae
Sphaenorhynchus dorisae,Hylidae
Sphaenorhynchus lacteus,Hylidae
Sphaenorhynchus mirim,Hylidae
Sphaenorhynchus palustris,Hylidae
Sphaenorhynchus planicola,Hylidae
Sphaenorhynchus platycephalus,Hylidae
Sphaenorhynchus prasinus,Hylidae
Sphaenorhynchus surdus,Hylidae
Tepuihyla shushupe,Hylidae
Tepuihyla tuberculosa,Hylidae
Trachycephalus adenodermus,Hylidae
Trachycephalus atlas,Hylidae
Trachycephalus coriaceus,Hylidae
Trachycephalus cunauaru,Hylidae
Trachycephalus dibernardoi,Hylidae
Trachycephalus hadroceps,Hylidae
Trachycephalus helioi,Hylidae
Trachycephalus imitatrix,Hylidae
Trachycephalus lepidus,Hylidae
Trachycephalus mambaiensis,Hylidae
Trachycephalus mesophaeus,Hylidae
Trachycephalus nigromaculatus,Hylidae
Trachycephalus resinifictrix,Hylidae
Trachycephalus typhonius,Hylidae
Xenohyla eugenioi,Hylidae
Xenohyla truncata,Hylidae
Crossodactylus boulengeri,Hylodidae
Crossodactylus caramaschii,Hylodidae
Crossodactylus cyclospinus,Hylodidae
Crossodactylus dantei,Hylodidae
Crossodactylus dispar,Hylodidae
Crossodactylus franciscanus,Hylodidae
Crossodactylus gaudichaudii,Hylodidae
Crossodactylus grandis,Hylodidae
Crossodactylus lutzorum,Hylodidae
Crossodactylus schmidti,Hylodidae
Crossodactylus timbuhy,Hylodidae
Crossodactylus trachystomus,Hylodidae
Crossodactylus werneri,Hylodidae
Hylodes amnicola,Hylodidae
Hylodes asper,Hylodidae
Hylodes babax,Hylodidae
Hylodes caete,Hylodidae
Hylodes cardosoi,Hylodidae
Hylodes charadranaetes,Hylodidae
Hylodes dactylocinus,Hylodidae
Hylodes fredi,Hylodidae
Hylodes glaber,Hylodidae
Hylodes heyeri,Hylodidae
Hylodes japi,Hylodidae
Hylodes lateristrigatus,Hylodidae
Hylodes magalhaesi,Hylodidae
Hylodes meridionalis,Hylodidae
Hylodes mertensi,Hylodidae
Hylodes nasus,Hylodidae
Hylodes ornatus,Hylodidae
Hylodes otavioi,Hylodidae
Hylodes perere,Hylodidae
Hylodes perplicatus,Hylodidae
Hylodes phyllodes,Hylodidae
Hylodes pipilans,Hylodidae
Hylodes regius,Hylodidae
Hylodes sazimai,Hylodidae
Hylodes uai,Hylodidae
Hylodes vanzolinii,Hylodidae
Megaelosia goeldii,Hylodidae
Phantasmarana apuana,Hylodidae
Phantasmarana bocainensis,Hylodidae
Phantasmarana boticariana,Hylodidae
Phantasmarana curucutuensis,Hylodidae
Phantasmarana jordanensis,Hylodidae
Phantasmarana lutzae,Hylodidae
Phantasmarana massarti,Hylodidae
Phantasmarana tamuia,Hylodidae
Adenomera ajurauna,Leptodactylidae
Adenomera albarena,Leptodactylidae
Adenomera amicorum,Leptodactylidae
Adenomera andreae,Leptodactylidae
Adenomera araucaria,Leptodactylidae
Adenomera aurantiaca,Leptodactylidae
Adenomera bokermanni,Leptodactylidae
Adenomera chicomendesi,Leptodactylidae
Adenomera cotuba,Leptodactylidae
Adenomera diptyx,Leptodactylidae
Adenomera engelsi,Leptodactylidae
Adenomera gridipappi,Leptodactylidae
Adenomera guarani,Leptodactylidae
Adenomera heyeri,Leptodactylidae
Adenomera hylaedactyla,Leptodactylidae
Adenomera inopinata,Leptodactylidae
Adenomera juikitam,Leptodactylidae
Adenomera kayapo,Leptodactylidae
Adenomera kweti,Leptodactylidae
Adenomera marmorata,Leptodactylidae
Adenomera martinezi,Leptodactylidae
Adenomera nana,Leptodactylidae
Adenomera phonotriccus,Leptodactylidae
Adenomera saci,Leptodactylidae
Adenomera tapajonica,Leptodactylidae
Adenomera thomei,Leptodactylidae
Adenomera varcena,Leptodactylidae
Crossodactylodes alairi,Leptodactylidae
Crossodactylodes bokermanni,Leptodactylidae
Crossodactylodes itambe,Leptodactylidae
Crossodactylodes izecksohni,Leptodactylidae
Crossodactylodes pintoi,Leptodactylidae
Crossodactylodes septentrionalis,Leptodactylidae
Crossodactylodes serranegra,Leptodactylidae
Crossodactylodes teixeirai,Leptodactylidae
Edalorhina perezi,Leptodactylidae
Engystomops freibergi,Leptodactylidae
Engystomops petersi,Leptodactylidae
Hydrolaetare caparu,Leptodactylidae
Hydrolaetare dantasi,Leptodactylidae
Hydrolaetare schmidti,Leptodactylidae
Leptodactylus avivoca,Leptodactylidae
Leptodactylus barrioi,Leptodactylidae
Leptodactylus bolivianus,Leptodactylidae
Leptodactylus bufonius,Leptodactylidae
Leptodactylus caatingae,Leptodactylidae
Leptodactylus camaquara,Leptodactylidae
Leptodactylus cunicularius,Leptodactylidae
Leptodactylus cupreus,Leptodactylidae
Leptodactylus didymus,Leptodactylidae
Leptodactylus diedrus,Leptodactylidae
Leptodactylus discodactylus,Leptodactylidae
Leptodactylus elenae,Leptodactylidae
Leptodactylus flavopictus,Leptodactylidae
Leptodactylus fremitus,Leptodactylidae
Leptodactylus furnarius,Leptodactylidae
Leptodactylus fuscus,Leptodactylidae
Leptodactylus gracilis,Leptodactylidae
Leptodactylus guianensis,Leptodactylidae
Leptodactylus hylodes,Leptodactylidae
Leptodactylus jolyi,Leptodactylidae
Leptodactylus kilombo,Leptodactylidae
Leptodactylus knudseni,Leptodactylidae
Leptodactylus labyrinthicus,Leptodactylidae
Leptodactylus latinasus,Leptodactylidae
Leptodactylus latrans,Leptodactylidae
Leptodactylus lauramiriamae,Leptodactylidae
Leptodactylus leptodactyloides,Leptodactylidae
Leptodactylus longirostris,Leptodactylidae
Leptodactylus luctator,Leptodactylidae
Leptodactylus macrosternum,Leptodactylidae
Leptodactylus marambaiae,Leptodactylidae
Leptodactylus myersi,Leptodactylidae
Leptodactylus mystaceus,Leptodactylidae
Leptodactylus mystacinus,Leptodactylidae
Leptodactylus natalensis,Leptodactylidae
Leptodactylus notoaktites,Leptodactylidae
Leptodactylus ochraceus,Leptodactylidae
Leptodactylus oreomantis,Leptodactylidae
Leptodactylus payaya,Leptodactylidae
Leptodactylus paraensis,Leptodactylidae
Leptodactylus paranaru,Leptodactylidae
Leptodactylus pentadactylus,Leptodactylidae
Leptodactylus petersii,Leptodactylidae
Leptodactylus plaumanni,Leptodactylidae
Leptodactylus podicipinus,Leptodactylidae
Leptodactylus pustulatus,Leptodactylidae
Leptodactylus rhodomystax,Leptodactylidae
Leptodactylus rhodonotus,Leptodactylidae
Leptodactylus riveroi,Leptodactylidae
Leptodactylus rugosus,Leptodactylidae
Leptodactylus sabanensis,Leptodactylidae
Leptodactylus spixi,Leptodactylidae
Leptodactylus stenodema,Leptodactylidae
Leptodactylus syphax,Leptodactylidae
Leptodactylus tapiti,Leptodactylidae
Leptodactylus troglodytes,Leptodactylidae
Leptodactylus validus,Leptodactylidae
Leptodactylus vastus,Leptodactylidae
Leptodactylus viridis,Leptodactylidae
Leptodactylus wagneri,Leptodactylidae
Leptodactylus watu,Leptodactylidae
Lithodytes lineatus,Leptodactylidae
Paratelmatobius cardosoi,Leptodactylidae
Paratelmatobius gaigeae,Leptodactylidae
Paratelmatobius lutzii,Leptodactylidae
